,CharacterName,WikiLink
172,Black Tarantula,Black Tarantula
173,Black Tom Cassidy,Black Tom Cassidy
174,Black Widow,Black Widow (Marvel Comics)
175,Blackheart,Blackheart
176,Blacklash,Whiplash (Mark Scarlotti)
177,Blacklight,Blacklight (MC2)
178,Blackout,Blackout (Marcus Daniels)
179,Blackwing,Blackwing (character)
180,Blade,Blade (character)
181,Donald Blake,Thor (Marvel Comics)
182,Blank,Blank (comics)
183,Blastaar,Blastaar
184,Siena Blaze,Siena Blaze
185,Blazing Skull,Blazing Skull
186,Blindfold,Blindfold (comics)
187,Blindspot,Blindspot (comics)
188,Bling!,Bling!
189,Blink,Blink (comics)
190,Bliss,Bliss (Marvel Comics)
191,Blitz,
192,Blitzkrieg,
193,Blizzard,Blizzard (Marvel Comics)
194,Blob,Blob (comics)
195,Blockbuster,Blockbuster (Marauder)
196,Blonde Phantom,Blonde Phantom
197,Blood Brothers,Blood Brothers (comics)
198,Bloodaxe,Bloodaxe (comics)
199,Bloodhawk,Bloodhawk
200,Bloodscream,Bloodscream
201,Bloodshed,Bloodshed (comics)
202,Cullen Bloodstone,Cullen Bloodstone
203,Elsa Bloodstone,Elsa Bloodstone
204,Ulysses Bloodstone,Ulysses Bloodstone
205,Bloodstrike,Bloodstrike (Marvel Comics)
206,Blood Spider,
207,Bloodwraith,
208,Blue Blade,
209,Blue Blaze,
210,Blue Diamond,Blue Diamond (comics)
211,Blue Eagle,Blue Eagle (comics)
212,Blue Marvel,Blue Marvel
213,Blue Shield,Blue Shield (comics)
214,Blue Streak/Bluestreak,Blue Streak (comics)
215,"Bob, Agent of HYDRA","Bob, Agent of HYDRA"
216,Elias Bogan,Elias Bogan
217,Bolt,Chris Bradley
218,Ahura Boltagon,
219,Bombshell,
220,Bonebreaker,Bonebreaker
221,Alexander Bont,Alexander Bont
222,Boom-Boom,Tabitha Smith
223,Boomerang,Boomerang (comics)
224,Bor,
225,Bova,Bova (comics)
226,Melissa Bowen,
227,Box,Box (comics)
228,Jamie Braddock,Jamie Braddock
229,Isaiah Bradley,Isaiah Bradley
230,Brain Drain,Brain Drain (comics)
231,Brainchild,Brainchild (comics)
232,Abigail Brand,Abigail Brand
233,Ellen Brandt,
234,Betty Brant,Betty Brant
235,G. W. Bridge,G. W. Bridge
236,Brimstone Love,Brimstone Love
237,Britannia,
238,Carl Brock,
239,Nicholas Bromwell,
240,Broo,
241,Vanessa Brooks,
242,Brother Tode,Brother Tode
243,Brother Voodoo,Brother Voodoo
244,Brothers Grimm,Brothers Grimm (comics)
245,Bruiser,Molly Hayes
246,Brute,Brute (Reed Richards)
247,Bucky,Bucky (Marvel Comics)
248,Paul Budiansky,Paul Budiansky
249,Bug,Bug (comics)
250,Bulldozer,Bulldozer (comics)
251,Bullet,
252,Bullseye,Bullseye (comics)
253,Bulwark,Bulwark (comics)
254,Nathaniel Bumpo,Nathaniel Bumpo
255,Sonny Burch,
256,Burglar,Burglar (comics)
257,Burner,Burner (comics)
258,Noah Burstein,
259,Bushman,Bushman (comics)
260,Bushmaster,Bushmaster (Marvel Comics)
261,Bushwacker,Bushwacker (comics)
262,Butterfly,Layla Miller
263,Buzz,Buzz (Marvel Comics)
264,Byrrah,Byrrah
265,Tatiana Caban,Tatiana Caban
266,Bethany Cabe,Bethany Cabe
267,Caber,
268,Cable,Cable (comics)
269,Danielle Cage,
270,Luke Cage,Luke Cage
271,Caiera,
272,Caiman,Caiman (comics)
273,Caliban,Caliban (comics)
274,Callisto,Callisto (comics)
275,Mrs. Campbell,
276,Calypso,Calypso (comics)
277,Cammi,Cammi (comics)
278,Cancer,Cancer (comics)
279,Candra,Candra (comics)
280,Cannonball,Cannonball (comics)
281,Capricorn,Capricorn (comics)
282,Captain,Captain (comics)
283,Captain America,Captain America|Captain America (Ultimate Marvel character)|Steve Rogers (Marvel Cinematic Universe)
284,Captain Atlas,Captain Atlas
285,Captain Britain,Captain Britain
286,Captain Fate,Captain Fate
287,Captain Marvel,Captain Marvel (Marvel Comics)
288,Captain Midlands,Captain Midlands
289,Captain Savage,Captain Savage
290,Captain Spider,Flash Thompson
291,Captain UK,Captain Britain Corps#Known current members
292,Captain Ultra,Captain Ultra
293,Captain Universe,Captain Universe
294,Captain Wonder,Captain Wonder (Timely Comics)
295,Rosalie Carbone,
296,Cardiac,Cardiac (comics)
297,Cardinal,Cardinal (comics)
298,Caretaker,Caretaker (comics)
299,John Carik,
300,Luke Carlyle,
301,Carnage,Carnage (character)
302,Carnivore,Carnivore (comics)
303,Bruno Carrelli,
304,Carrion,Carrion (comics)
305,Peggy Carter,Peggy Carter
306,Sharon Carter,Sharon Carter
307,Tyrone Cash,Tyrone Cash
308,Cat-Man,
309,Catseye,Catseye (comics)
310,Ned Cecil,
311,Cell,Cell (comics)
312,Centennial,
313,Centurious,Centurious
314,Centurius,Centurius
315,Century,
316,Cerebra,Cerebra
317,Cerise,Cerise (comics)
318,Chaka,
319,Challenger,Challenger (comics)
320,Chamber,Chamber (comics)
321,Chameleon,Chameleon (comics)
322,Champion of the Universe,Champion of the Universe
323,Chance,
324,Marlo Chandler,Marlo Chandler
325,Robin Chapel,Damage Control (comics)#Employees
326,Charcoal,Charcoal (comics)
327,Charlie-27,Charlie-27
328,Charon,Charon (Marvel Comics)
329,Chemistro,Chemistro
330,Lila Cheney,
331,Zhou Cheng,Zhou Cheng
332,Cheshire Cat,Cheshire Cat (comics)
333,Chewie,
334,Chimera,
335,Amadeus Cho,Amadeus Cho
336,Ch'od,Ch'od
337,Choir,
338,Chondu the Mystic,Chondu the Mystic
339,Andrew Chord,Andrew Chord
340,Chronomancer,Trevor Fitzroy
341,Chthon,
342,Chtylok,
343,Cipher,Cipher (comics)
344,Citizen V,Citizen V
345,Clash,
346,Clea,Clea
347,Albert Cleary,Damage Control#Employees
348,Cloak,Cloak and Dagger (comics)
349,Cloud 9,Cloud 9 (comics)
350,Coachwhip,Coachwhip (comics)
351,Coal Tiger,Coal Tiger
352,Cobalt Man,Cobalt Man
353,Cobra,Cobra (Marvel Comics)
354,Izzy Cohen,
355,Malcolm Colcord,Malcolm Colcord
356,Coldblood,Coldblood
357,Collective Man,Collective Man
358,Collector,Collector (comics)
359,Rusty Collins,Rusty Collins
360,Colonel,Ultimate Red Guardian
361,Colossus,Colossus (comics)
362,Comanche,Comanche (comics)
363,Comet,
364,Comet Man,Comet Man
365,Commander Kraken,Commander Kraken
366,Conan,Conan (Marvel Comics)
367,Condor,Condor (comics)
368,Billy Connors,Billy Connors (comics)
369,Martha Connors,Martha Connors
370,Conquest,Conquest (comics)
371,Constrictor,Constrictor (comics)
372,Contemplator,Contemplator (Marvel Comics)
373,Controller,Controller (Marvel Comics)
374,Jen Cooke,Jen Cooke
375,Finn Cooley,Finn Cooley
376,Carlie Cooper,Carlie Cooper
377,Valerie Cooper,Valerie Cooper
378,Copperhead,Copperhead (Marvel Comics)
379,Copycat,
380,Anya Corazon,Anya Corazon
381,Gil Corazon,
382,Sofia Corazon,
383,Peter Corbeau,Peter Corbeau
384,Edwin Cord,Edwin Cord
385,Abraham Cornelius,Abraham Cornelius
386,Archie Corrigan,Archie Corrigan
387,Corruptor,Corruptor (comics)
388,Corsair,Corsair (comics)
389,Tom Corsi,Tom Corsi
390,Fabian Cortez,Fabian Cortez
391,Cosmo the Spacedog,Cosmo the Spacedog
392,Cottonmouth,Cottonmouth (Cornell Cottonmouth)
393,Phil Coulson,Phil Coulson
394,Delphine Courtney,
395,Cowgirl,Cowgirl (comics)
396,Graydon Creed,Graydon Creed
397,Crime Master,Crime Master
398,Crimson Cavalier,Crimson Cavalier
399,Crimson Commando,Crimson Commando
400,Crimson Curse,Crimson Curse
401,Crimson Dynamo,Crimson Dynamo
402,Crippler,Crippler (comics)
403,Augustine Cross,
404,Darren Cross,Darren Cross
405,Crossbones,Crossbones (comics)
406,Crossfire,Crossfire (comics)
407,Crucible,Enclave (comics)#Crucible
408,Crule,
409,Crusader,Crusader (Marvel Comics)
410,Crusher,Crusher (comics)
411,Crusher Hogan,
412,Crystal,Crystal (comics)
413,Cutthroat,
414,Cyber,Cyber (Marvel Comics)
415,Doctor Cyclobe,
416,Cyclone,Cyclone (Marvel Comics)
417,Cyclops,Cyclops (Marvel Comics)
418,Cypher,Cypher (comics)
419,Cyttorak,Cyttorak
420,Dagger,Dagger (comics)
421,Dagoth,
422,Daken,Daken
423,Dakimh the Enchanter,Dakimh the Enchanter
424,Damballah,
425,Daniel Whitehall,
426,Dansen Macabre,
427,Daredevil,Daredevil (Marvel Comics character)
428,Dark Beast,Dark Beast
429,Dark-Crawler,
430,Darkdevil,Darkdevil
431,Darkhawk,Darkhawk
432,Darkoth,Darkoth
433,Darkstar,Darkstar (Marvel Comics)
434,Darter,
435,Darwin,Darwin (comics)
436,Spacker Dave,Spacker Dave
437,Jefferson Davis,
438,Leonardo da Vinci,
439,Daytripper,Amanda Sefton
440,Dazzler,Dazzler (Marvel Comics)
441,The Deacon,
442,Dead Girl,Dead Girl
443,Deadpool,Deadpool
444,Betty Dean,
445,Frank and Leslie Dean,Pride (comics)#The Dean family
446,Death,Death (Marvel Comics)
447,Death Adder,Death Adder (comics)
448,Death-Dealer,
449,Death Metal,Death Metal (comics)
450,Death-Stalker,
451,Death Wreck,
452,Death's-Head,Death's Head
453,Deathbird,Deathbird
454,Deathlok,Deathlok
455,Deathurge,
456,Deathwatch,Deathwatch (comics)
457,Debrii,Debrii
458,December,
459,Defender,
460,Valentina Allegra de Fontaine,Valentina Allegra de Fontaine
461,Father Delgado,
462,Marco Delgado,Marco Delgado (comics)
463,Delilah,Delilah (comics)
464,Delphi,Delphi (Pantheon)
465,Demiurge,
466,Demogoblin,Demogoblin
467,Demolition Man,Demolition Man (comics)
468,Demon Bear,Demon Bear
469,Desak,Desak
470,Destiny,Destiny (Irene Adler)
471,Destroyer,Destroyer (Keen Marlow)
472,Detroit Steel,Detroit Steel
473,Devastator,Devastator (comics)
474,Devil Dinosaur,Devil Dinosaur
475,Devil-Slayer,Devil-Slayer (comics)
476,Devos the Devastator,Devos the Devastator
477,Jean DeWolff,Jean DeWolff
478,Diablo,Diablo (Marvel Comics)
479,Bob Diamond,
480,Diamond Lil,Diamond Lil (Marvel Comics)
481,Diamondback,Diamondback (Willis Stryker)
482,Diamondhead,Diamondhead (comics)
483,Diatrice Alraune,
484,Digger,Digger (Marvel Comics)
485,Digitek,Digitek (comics)
486,Dinah Soar,Dinah Soar
487,Dionysus,Dionysus (Marvel Comics)
488,Dirtnap,Dirtnap (comics)
489,Discus,
490,DJ,
491,D'Ken,D'Ken
492,D.O.A.,Hellions (comics)#Emplate's Hellions
493,Doc Samson,Doc Samson
494,Doctor Bong,Doctor Bong
495,Doctor Demonicus,Doctor Demonicus
496,Doctor Doom,Doctor Doom
497,Doctor Druid,Doctor Druid
498,Doctor Faustus,Doctor Faustus (comics)
499,Doctor Minerva,Doctor Minerva
500,Doctor Nemesis,Doctor Nemesis
501,Doctor Octopus,Doctor Octopus
502,Doctor Spectrum,Doctor Spectrum
503,Doctor Strange,Doctor Strange
504,Doctor Sun,
505,Doctor Voodoo,Daniel Drumm
506,Stacy Dolan,
507,Domino,Domino (comics)
508,Dominus,
509,Big Ben Donovan,Big Ben Donovan
510,Roger Dooley,Roger Dooley
511,Doom 2099,Doom 2099
512,Doorman,Doorman (comics)
513,Doop,Doop (comics)
514,Dopinder,
515,Dorma,Dorma (comics)
516,Dormammu,Dormammu
517,Doughboy,Doughboy (comics)
518,Dracula,Dracula (Marvel Comics)
519,Dragon Lord,Dragon Lord (comics)
520,Dragon Man,Dragon Man (comics)
521,Dragon of the Moon,
522,Dragonfly,
523,Dragoness,
524,Carlton Drake,
525,Frank Drake,
526,Damon Dran,Damon Dran
527,Drax the Destroyer,Drax the Destroyer
528,Dreadknight,Dreadknight
529,Dreadnought,Dreadnought (comics)
530,Dreaming Celestial,
531,Dreamqueen,
532,Igor Drenkov,
533,Dredmund Druid,Dredmund Druid
534,Druig,Druig
535,Dryad,Dryad (comics)
536,D'Spayre,D'Spayre
537,Michael Duffy,
538,Dum-Dum Dugan,Dum-Dum Dugan
539,Fred Duncan,
540,Dusk,Dusk (comics)
541,Dust,Dust (comics)
542,Dweller-in-Darkness,Dweller-in-Darkness
543,Dyna-Mite,
544,Dynamic Man,
545,Earth Lord,Earth Force (Marvel Comics)#Membership
546,Earth Sentry,
547,Ebon Samurai,Ebon Samurai
548,Echo,Echo (Marvel Comics)
549,Ectokid,Ectokid
550,Ethan Edwards,Ethan Edwards
551,Eel,Eel (comics)
552,Egghead,Egghead (Marvel Comics)
553,Ego the Living Planet,Ego the Living Planet
554,Eitri,Eitri (comics)
555,El Aguila,El Aguila
556,El Guapo,
557,Electric Eve,
558,Electro,Electro (Marvel Comics)
559,Electron,
560,Elixir,Elixir (comics)
561,Elias Spector,
562,Matthew Ellis,
563,Mitchell Ellison,
564,Elsie-Dee,Elsie-Dee
565,Elysius,Elysius (comics)
566,Empath,Empath (comics)
567,Emplate,
568,Enchantress,Enchantress (Marvel Comics)
569,Energizer,Katie Power
570,Enforcer,Enforcer (comics)
571,Ent,Ent (comics)
572,Entropy,
573,Eon,
574,Epoch,
575,Equinox,Equinox (comics)
576,Ereshkigal,Ereshkigal (Marvel Comics)
577,Eric the Red,Eric the Red (comics)
578,Erg,Erg (comics)
579,Ernst,
580,Abraham Erskine,
581,Eternity,Eternity (comics)
582,E.V.A.,Fantomex#Powers and abilities
583,Christine Everhart,
584,Everyman,Everyman (Marvel Comics)
585,Ex Nihilo,Ex Nihilo (comics)
586,Executioner,Executioner (comics)
587,Exodus,Exodus (comics)
588,Ezekiel,Ezekiel (comics)
589,Fafnir,
590,Falcon,Falcon (comics)|Sam Wilson (Marvel Cinematic Universe)
591,Falcona,
592,Falligar the Behemoth,
593,Famine,
594,Fancy Dan,Fancy Dan
595,Fandral,Fandral
596,Fang,
597,Fantasia,
598,Fantomex,Fantomex
599,Kat Farrell,
600,Fasaud,Fasaud
601,Fatale,Fatale (Marvel Comics)
602,Father Time,Father Time (Marvel Comics)
603,Joe Faulkner,
604,Fenris Wolf,Fenris Wolf (Marvel Comics)
605,Feral,Feral (comics)
606,Fer-de-Lance,Fer-de-Lance (comics)
607,Ferocia,
608,Feron,
609,Connie Ferrari,
610,Ferret,
611,Philip Fetter,Saint Sinner (comics)
612,Fever Pitch,
613,Fiery Mask,
614,Fin,Fin (comics)
615,Fin Fang Foom,Fin Fang Foom
616,Finesse,Finesse (character)
617,Fire-Eater,
618,Firebird,Firebird (Marvel Comics)
619,Firebrand,Firebrand (Marvel Comics)
620,Firelord,Firelord (comics)
621,Firepower,Firepower (comics)
622,Firestar,Firestar (Marvel Comics)
623,Richard Fisk,Richard Fisk
624,Vanessa Fisk,Vanessa Fisk
625,Leo Fitz,Leo Fitz
626,Fixx,Fixx (Marvel comics)
627,Fixer,Fixer (comics)
628,Flag-Smasher,Flag-Smasher
629,Flashback,Flashback (comics)
630,Flashfire,
631,Flatman,Flatman (comics)
632,Flex,Flex (comics)
633,Flexo the Rubber Man,
634,Flint,
635,Flipside,Flipside (comics)
636,Sally Floyd,Sally Floyd (comics)
637,Flux,Flux (comics)
638,Flying Tiger,Flying Tiger (Marvel Comics)
639,Mickey Fondozzi,Mickey Fondozzi
640,Foolkiller,Foolkiller
641,Forbush Man,Forbush Man
642,Force,Force (comics)
643,Forearm,Forearm (comics)
644,Foreigner,Foreigner (comics)
645,Forge,Forge (comics)
646,Lee Forrester,Lee Forrester
647,Forgotten One,Forgotten One (comics)
648,Don Fortunato,Don Fortunato
649,Dominic Fortune,Dominic Fortune
650,Jane Foster,Jane Foster (comics)
651,Frederick Foswell,Frederick Foswell
652,Foxbat,Foxbat (comics)
653,Foxfire,Foxfire (comics)
654,Frankenstein's Monster,Frankenstein's Monster (Marvel Comics)
655,Freak,Freak (Marvel Comics)
656,Freakshow,Freakshow (comics)
657,Free Spirit,Free Spirit (comics)
658,Freebooter,
659,Freedom Ring,Freedom Ring
660,Spike Freeman,Spike Freeman
661,Frenchie,Frenchie (comics)
662,Frenzy,Frenzy (comics)
663,Freya,Freya (comics)
664,Friday,F.R.I.D.A.Y.
665,Friction,Friction (comics)
666,Sharon Friedlander,Sharon Friedlander
667,Frigga,Frigga (Marvel Comics)
668,Frog-Man,Frog-Man
669,Adrienne Frost,Adrienne Frost
670,Carmilla Frost,
671,Christian Frost,
672,Deacon Frost,Deacon Frost
673,Emma Frost,Emma Frost
674,Rumiko Fujikawa,Rumiko Fujikawa
675,Fury,Fury (Marvel Comics)
676,Jake Fury,Jake Fury
677,Mikel Fury,Mikel Fury
678,Nick Fury,Nick Fury|Nick Fury (Ultimate Marvel character)|Nick Fury (Marvel Cinematic Universe)
679,Nick Fury Jr.,Nick Fury Jr.
680,Vernon Fury,Vernon Fury
681,Fusion,Fusion (Marvel Comics)
682,Futurist,Futurist (comics)
683,Gaea,
684,Gaia,
685,Michelle Gonzales,
686,Galacta,
687,Galactus,Galactus
688,Galaxy Master,
689,Gambit,Gambit (Marvel Comics)
690,Gamesmaster,Gamesmaster (comics)
691,Gamora,Gamora
692,Ganymede,
693,Gardener,Gardener (comics)
694,Gargantua,Gargantua (comics)
695,Gargoyle,Gargoyle (comics)
696,Garokk,Garokk
697,Jeffrey Garrett,Jeffrey Garrett
698,John Garrett,John Garrett (comics)
699,Gatecrasher,Gatecrasher (Marvel Comics)
700,Gateway,Gateway (comics)
701,Kulan Gath,Kulan Gath
702,Gauntlet,Gauntlet (comics)
703,Gavel,Gavel (comics)
704,Blackie Gaxton,
705,Gazelle,Salem's Seven
706,Geiger,Geiger (comics)
707,Geist,
708,Gemini,Gemini (Marvel Comics)
709,Genesis,Genesis (Marvel Comics)
710,Genis-Vell,Genis-Vell
711,Gentle,Gentle (comics)
712,Ghaur,Ghaur
713,Annie Ghazikhanian,
714,Carter Ghazikhanian,
715,Ghost,Ghost (Marvel Comics)
716,Ghost Girl,
717,Ghost Rider,Ghost Rider
718,Ghost Rider 2099,Ghost Rider 2099
719,Ghoul,
720,Giant-Man,Giant-Man
721,Gibbon,Gibbon (comics)
722,Gibborim,Gibborim (comics)
723,Gideon,Gideon (comics)
724,Giganto,Giganto
725,Gigantus,Gigantus
726,Gilded Lily,
727,Gladiator,Gladiator (Melvin Potter)
728,Gladiatrix,Gladiatrix (comics)
729,Corvus Glaive,Corvus Glaive
730,Glob,Glob (comics)
731,Glob Herman,
732,Glorian,Glorian
733,Glowworm,
734,Glyph,
735,Ma Gnucci,Ma Gnucci
736,GoGo Tomago,GoGo Tomago
737,Goblyn,
738,Goddess,Goddess (comics)
739,Godzilla,"Godzilla, King of the Monsters (comic book)"
740,Golddigger,Femizons#Members
741,Golden Archer,
742,Golden Girl,Betsy Ross (comics)
743,Golden Woman,
744,Golem,Golem (comics)
745,Goliath,Goliath (Marvel Comics)
746,Vin Gonzales,Vin Gonzales
747,Goom,Goom
748,Gordon,
749,Gorgilla,Gorgilla
750,Gorgolla,Gorgolla
751,Gorgon,Gorgon (Inhuman)
752,Delphyne Gorgon,Delphyne Gorgon
753,Gorilla Girl,Gorilla Girl
754,Gorilla-Man,Gorilla-Man
755,Gorr the God Butcher,Gorr the God Butcher
756,Gorr the Golden Gorilla,Gorr the Golden Gorilla
757,Gosamyr,
758,Grand Director,Grand Director
759,Glory Grant,Glory Grant
760,Grasshopper,Grasshopper (comics)
761,Graviton,Graviton (comics)
762,Gravity,Gravity (comics)
763,Graymalkin,Graymalkin
764,Great Gambonnos,
765,Green Goblin,Green Goblin|Green Goblin (Ultimate Marvel character)
766,Grey Gargoyle,Grey Gargoyle
767,Jean Grey,Jean Grey
768,John Grey,
769,Greystone,
770,Griffin,Griffin (Marvel Comics)
771,David Griffith,David Griffith (comics)
772,Grim Hunter,Grim Hunter
773,Grim Reaper,Grim Reaper (comics)
774,Grindhouse,Grindhouse (comics)
775,Grizzly,Grizzly (comics)
776,Grog,Grog (Marvel Comics)
777,Groot,Groot
778,Grotesk,
779,Grotto,
780,Growing Man,
781,Guardian,Guardian (Marvel Comics)
782,Guardsman,Guardsman (comics)
783,Guillotine,
784,Jebediah Guthrie,Jebediah Guthrie
785,Melody Guthrie,
786,Henry Peter Gyrich,Henry Peter Gyrich
787,Gwenpool,Gwenpool
788,Hala the Accuser,Hala the Accuser
789,Gabrielle Haller,
790,Tadashi Hamada,Tadashi Hamada
791,Cockroach Hamilton,Cockroach Hamilton
792,Hamir the Hermit,
793,Hammer,
794,Caleb Hammer,
795,Justin Hammer,Justin Hammer
796,Sasha Hammer,
797,Hammerhead,Hammerhead (comics)
798,Victoria Hand,Victoria Hand (comics)
799,Hangman,
800,Maya Hansen,Maya Hansen
801,Hardball,Hardball (comics)
802,HardDrive,
803,Hardshell,Leila Davis
804,Felicity Hardy,Felicity Hardy
805,Hargen the Measurer,Celestials (comics)#Members
806,Quincy Harker,
807,Agatha Harkness,Agatha Harkness
808,Harold H. Harold,
809,Harpoon,Marauders (comics)
810,Harrier,Harrier (comics)
811,Stephanie Harrington,DP 7#Main characters
812,Arthur Harrow,
813,Jonas Harrow,Jonas Harrow
814,Danika Hart,
815,Hate-Monger,Hate-Monger
816,Hauptmann Deutschland (Captain Germany),Hauptmann Deutschland
817,Haven,
818,Havok,Havok (comics)
819,Hawkeye,Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe)
820,Pamela Hawley,
821,Gene and Alice Hayes,Pride (comics)#The Hayes family
822,Haywire,Haywire (comics)
823,Hazmat,
824,Mark Hazzard,Mark Hazzard: Merc
825,Headlok,Headlok
826,Headsman,Headsman (comics)
827,Hebe,Hebe (Marvel Comics)
828,Hecate,Hecate (Marvel Comics)
829,Hector,Hector (Pantheon)
830,Heimdall,Heimdall (comics)
831,Hela,Hela (comics)
832,Helix,Helix (Marvel Comics)
833,Hellcat,Patsy Walker
834,Hellcow,Hellcow
835,Helleyes,
836,Hellfire,Hellfire (J.T. Slade)
837,Hellion,Hellion (comics)
838,Hellrazor,Hellrazor
839,Daimon Hellstrom,Daimon Hellstrom
840,Hemingway,
841,Hephaestus,
842,Hepzibah,Hepzibah (comics)
843,Hera,
844,H.E.R.B.I.E.,H.E.R.B.I.E.
845,Hercules,Hercules (Marvel Comics)
846,Gregory Herd,Gregory Herd
847,Hermes,Hermes (Marvel Comics)
848,Hermod,Hermod (comics)
849,Hex,Hex (Marvel Comics)
850,High Evolutionary,High Evolutionary
851,Hijack,
852,Hijacker,Hijacker (comics)
853,Hildegarde,
854,Hildegund,
