,CharacterName,WikiLink,universe,woman,man,good,bad
306,Cypher,Cypher (comics),Marvel,0,0,1,0
307,Cyttorak,Cyttorak,Marvel,0,1,0,1
308,Dagger,Dagger (comics),Marvel,1,0,1,0
309,Daken,Daken,Marvel,0,1,0,1
310,Dakimh the Enchanter,Dakimh the Enchanter,Marvel,0,0,0,0
311,Daredevil,Daredevil (Marvel Comics character),Marvel,0,1,1,0
312,Dark Beast,Dark Beast,Marvel,0,1,0,1
313,Darkdevil,Darkdevil,Marvel,0,0,0,0
314,Darkhawk,Darkhawk,Marvel,0,1,1,0
315,Darkoth,Darkoth,Marvel,0,1,0,1
316,Darkstar,Darkstar (Marvel Comics),Marvel,1,0,1,0
317,Darwin,Darwin (comics),Marvel,0,0,0,0
318,Spacker Dave,Spacker Dave,Marvel,0,0,0,0
319,Daytripper,Amanda Sefton,Marvel,1,0,1,0
320,Dazzler,Dazzler (Marvel Comics),Marvel,1,0,1,0
321,Dead Girl,Dead Girl,Marvel,1,0,1,0
322,Deadpool,Deadpool,Marvel,0,1,0,1
323,Frank and Leslie Dean,Pride (comics)#The Dean family,Marvel,0,0,0,0
324,Death,Death (Marvel Comics),Marvel,0,0,0,0
325,Death Adder,Death Adder (comics),Marvel,0,0,0,0
326,Death Metal,Death Metal (comics),Marvel,0,0,0,0
327,Death's-Head,Death's Head,Marvel,0,1,1,0
328,Deathbird,Deathbird,Marvel,1,0,0,1
329,Deathlok,Deathlok,Marvel,0,1,1,0
330,Deathwatch,Deathwatch (comics),Marvel,0,1,0,1
331,Debrii,Debrii,Marvel,1,0,1,0
332,Valentina Allegra de Fontaine,Valentina Allegra de Fontaine,Marvel,0,0,0,0
333,Marco Delgado,Marco Delgado (comics),Marvel,0,0,0,0
334,Delilah,Delilah (comics),Marvel,0,0,0,0
335,Delphi,Delphi (Pantheon),Marvel,0,0,0,0
336,Demogoblin,Demogoblin,Marvel,0,1,0,1
337,Demolition Man,Demolition Man (comics),Marvel,0,0,0,0
338,Demon Bear,Demon Bear,Marvel,0,0,0,0
339,Desak,Desak,Marvel,0,0,0,0
340,Destiny,Destiny (Irene Adler),Marvel,0,0,0,0
341,Destroyer,Destroyer (Keen Marlow),Marvel,0,1,0,1
342,Detroit Steel,Detroit Steel,Marvel,0,0,0,0
343,Devastator,Devastator (comics),Marvel,0,0,0,0
344,Devil Dinosaur,Devil Dinosaur,Marvel,0,0,0,0
345,Devil-Slayer,Devil-Slayer (comics),Marvel,0,0,0,0
346,Devos the Devastator,Devos the Devastator,Marvel,0,1,0,1
347,Jean DeWolff,Jean DeWolff,Marvel,0,0,0,0
348,Diablo,Diablo (Marvel Comics),Marvel,0,1,0,1
349,Diamond Lil,Diamond Lil (Marvel Comics),Marvel,0,0,0,0
350,Diamondback,Diamondback (Willis Stryker),Marvel,0,1,0,1
351,Diamondhead,Diamondhead (comics),Marvel,0,0,0,0
352,Digger,Digger (Marvel Comics),Marvel,0,1,0,1
353,Digitek,Digitek (comics),Marvel,0,0,0,0
354,Dinah Soar,Dinah Soar,Marvel,0,0,0,0
355,Dionysus,Dionysus (Marvel Comics),Marvel,0,0,0,0
356,Dirtnap,Dirtnap (comics),Marvel,0,0,0,0
357,D'Ken,D'Ken,Marvel,0,0,0,0
358,D.O.A.,Hellions (comics)#Emplate's Hellions,Marvel,0,0,0,0
359,Doc Samson,Doc Samson,Marvel,0,1,1,0
360,Doctor Bong,Doctor Bong,Marvel,0,1,0,1
361,Doctor Demonicus,Doctor Demonicus,Marvel,0,1,0,1
362,Doctor Doom,Doctor Doom,Marvel,0,1,0,1
363,Doctor Druid,Doctor Druid,Marvel,0,0,0,0
364,Doctor Faustus,Doctor Faustus (comics),Marvel,0,1,0,1
365,Doctor Minerva,Doctor Minerva,Marvel,0,0,0,0
366,Doctor Nemesis,Doctor Nemesis,Marvel,0,1,0,1
367,Doctor Octopus,Doctor Octopus,Marvel,0,1,0,1
368,Doctor Spectrum,Doctor Spectrum,Marvel,0,0,0,0
369,Doctor Strange,Doctor Strange,Marvel,0,1,1,0
370,Doctor Voodoo,Daniel Drumm,Marvel,0,1,0,1
371,Domino,Domino (comics),Marvel,1,0,1,0
372,Big Ben Donovan,Big Ben Donovan,Marvel,0,0,0,0
373,Roger Dooley,Roger Dooley,Marvel,0,0,0,0
374,Doom 2099,Doom 2099,Marvel,0,1,0,1
375,Doorman,Doorman (comics),Marvel,0,0,0,0
376,Doop,Doop (comics),Marvel,0,0,0,0
377,Dorma,Dorma (comics),Marvel,0,0,0,0
378,Dormammu,Dormammu,Marvel,0,1,0,1
379,Doughboy,Doughboy (comics),Marvel,0,0,0,0
380,Dracula,Dracula (Marvel Comics),Marvel,0,1,0,1
381,Dragon Lord,Dragon Lord (comics),Marvel,0,0,0,0
382,Dragon Man,Dragon Man (comics),Marvel,0,0,0,0
383,Damon Dran,Damon Dran,Marvel,0,1,0,1
384,Drax the Destroyer,Drax the Destroyer,Marvel,0,1,1,0
385,Dreadknight,Dreadknight,Marvel,0,1,0,1
386,Dreadnought,Dreadnought (comics),Marvel,0,0,0,0
387,Dredmund Druid,Dredmund Druid,Marvel,0,0,0,0
388,Druig,Druig,Marvel,0,0,0,0
389,Dryad,Dryad (comics),Marvel,0,0,0,0
390,D'Spayre,D'Spayre,Marvel,0,1,0,1
391,Dum-Dum Dugan,Dum-Dum Dugan,Marvel,0,0,0,0
392,Dusk,Dusk (comics),Marvel,0,0,0,0
393,Dust,Dust (comics),Marvel,0,0,0,0
394,Dweller-in-Darkness,Dweller-in-Darkness,Marvel,0,1,0,1
395,Earth Lord,Earth Force (Marvel Comics)#Membership,Marvel,0,0,0,0
396,Ebon Samurai,Ebon Samurai,Marvel,0,0,0,0
397,Echo,Echo (Marvel Comics),Marvel,0,0,0,0
398,Ectokid,Ectokid,Marvel,0,0,0,0
399,Ethan Edwards,Ethan Edwards,Marvel,0,0,0,0
400,Eel,Eel (comics),Marvel,0,0,0,0
401,Egghead,Egghead (Marvel Comics),Marvel,0,1,0,1
402,Ego the Living Planet,Ego the Living Planet,Marvel,0,0,0,0
403,Eitri,Eitri (comics),Marvel,0,0,0,0
404,El Aguila,El Aguila,Marvel,0,1,1,0
405,Electro,Electro (Marvel Comics),Marvel,0,1,0,1
406,Elixir,Elixir (comics),Marvel,0,0,0,0
407,Elsie-Dee,Elsie-Dee,Marvel,0,0,0,0
408,Elysius,Elysius (comics),Marvel,0,0,0,0
409,Empath,Empath (comics),Marvel,0,0,0,0
410,Enchantress,Enchantress (Marvel Comics),Marvel,1,0,1,0
411,Energizer,Katie Power,Marvel,0,0,0,0
412,Enforcer,Enforcer (comics),Marvel,0,0,0,0
413,Ent,Ent (comics),Marvel,0,0,0,0
414,Equinox,Equinox (comics),Marvel,0,0,0,0
415,Ereshkigal,Ereshkigal (Marvel Comics),Marvel,0,0,0,0
416,Eric the Red,Eric the Red (comics),Marvel,0,0,0,0
417,Erg,Erg (comics),Marvel,0,0,0,0
418,Eternity,Eternity (comics),Marvel,0,0,0,0
419,E.V.A.,Fantomex#Powers and abilities,Marvel,0,0,0,0
420,Everyman,Everyman (Marvel Comics),Marvel,0,0,0,0
421,Ex Nihilo,Ex Nihilo (comics),Marvel,0,0,0,0
422,Executioner,Executioner (comics),Marvel,0,0,0,0
423,Exodus,Exodus (comics),Marvel,0,1,0,1
424,Ezekiel,Ezekiel (comics),Marvel,0,0,0,0
425,Falcon,Falcon (comics)|Sam Wilson (Marvel Cinematic Universe),Marvel,0,1,1,0
426,Fancy Dan,Fancy Dan,Marvel,0,0,0,0
427,Fandral,Fandral,Marvel,0,0,0,0
428,Fantomex,Fantomex,Marvel,0,1,1,0
429,Fasaud,Fasaud,Marvel,0,0,0,0
430,Fatale,Fatale (Marvel Comics),Marvel,0,0,0,0
431,Father Time,Father Time (Marvel Comics),Marvel,0,1,1,0
432,Fenris Wolf,Fenris Wolf (Marvel Comics),Marvel,0,0,0,0
433,Feral,Feral (comics),Marvel,0,0,1,0
434,Fer-de-Lance,Fer-de-Lance (comics),Marvel,0,0,0,0
435,Philip Fetter,Saint Sinner (comics),Marvel,0,0,0,0
436,Fin,Fin (comics),Marvel,0,1,1,0
437,Fin Fang Foom,Fin Fang Foom,Marvel,0,1,0,1
438,Finesse,Finesse (character),Marvel,0,0,0,0
439,Firebird,Firebird (Marvel Comics),Marvel,1,0,1,0
440,Firebrand,Firebrand (Marvel Comics),Marvel,0,1,0,1
441,Firelord,Firelord (comics),Marvel,0,0,1,0
442,Firepower,Firepower (comics),Marvel,0,0,0,0
443,Firestar,Firestar (Marvel Comics),Marvel,1,0,1,0
444,Richard Fisk,Richard Fisk,Marvel,0,1,0,1
445,Vanessa Fisk,Vanessa Fisk,Marvel,0,0,0,0
446,Leo Fitz,Leo Fitz,Marvel,0,0,0,0
