,CharacterName,WikiLink
115,Bombshell,Bombshell (DC Comics)
116,Boodikka,Boodikka
117,Bolphunga,
118,Booster Gold,Booster Gold
119,Sy Borgman,
120,Bouncing Boy,Bouncing Boy
121,Bozo the Iron Man,Bozo the Iron Man
122,Brain,Brain (DC Comics)
123,Brain Wave,Brain Wave (character)
124,Brainiac,Brainiac (character)
125,Brainiac 5,Brainiac 5
126,Brainiac 8,Brainiac 8
127,Brainwave,Brainwave (character)
128,Brick,Brick (character)
129,Bronze Tiger,Bronze Tiger
130,Brother Blood,Brother Blood
131,Brutale,Brutale (DC Comics)
132,Bug-Eyed Bandit,Bug-Eyed Bandit
133,Bulleteer,Bulleteer
134,Bulletman and Bulletgirl,Bulletman and Bulletgirl
135,Bumblebee,Bumblebee (comics)
136,Bushido,Bushido (comics)
137,Byth Rok,
138,Calamity King,
139,Calendar Girl,
140,Calendar Man,Calendar Man
141,Calculator,Calculator (character)
142,Canterbury Cricket,
143,Captain Atom,Captain Atom
144,Captain Boomerang,Captain Boomerang
145,Captain Cold,Captain Cold
146,Captain Comet,Captain Comet
147,Captain Marvel,Captain Marvel (DC Comics)
148,Captain Marvel Jr.,Captain Marvel Jr.
149,Captain Nazi,Captain Nazi
150,Frankie Carbone,
151,Joseph Carver,
152,Aaron Cash,
153,Catwoman,Catwoman
154,Cerdian,
155,Ch'p,Ch'p
156,Chameleon Boy,Reep Daggle
157,Charybdis,
158,King Chimera,King Chimera
159,Chris KL-99,Chris KL-99
160,Doris Chase,
161,Cheetah,Cheetah (character)
162,Chemo,Chemo (character)
163,Angela Chen,
164,Cheshire,Cheshire (comics)
165,Chief,Chief (DC Comics)
166,Chillblaine,
167,Christina Chiles,
168,Chris Kent,Chris Kent (character)
169,Chronos,Chronos (character)
170,Circe,Circe (character)
171,Clayface,Clayface
172,Clock King,Clock King
173,Clown,
174,Clownhunter,
175,Cluemaster,Cluemaster
176,Cobalt Blue,
177,Coldcast,
178,Colossal Boy,Gim Allon
179,Comedian,Comedian (character)
180,Commander Steel,Commander Steel
181,Condiment King,
182,Conduit,Conduit (character)
183,Congorilla,Congorilla
184,Harriet Cooper,
185,Cosmic Boy,Cosmic Boy
186,Count Vertigo,Count Vertigo
187,Gerald Crane,
188,Ned Creegan,
189,Creeper,Creeper (DC Comics)
190,Crimson Avenger,Crimson Avenger
191,Crispus Allen,Crispus Allen
192,Cyborg,Cyborg (DC Comics)
193,Cyborg Superman,Cyborg Superman
194,Cyborgirl,
195,Cyclone,Cyclone (DC Comics)
196,Dan the Dyna-Mite,Dan the Dyna-Mite
197,Dan Turpin,Dan Turpin
198,Damien Darhk,
199,Darkseid,Darkseid
200,Dark Angel,Dark Angel (DC Comics)
201,Dark Flash / Negative Flash,Wally West
202,Dava,Dava (comics)
203,Dawnstar,Dawnstar
204,Deadman,Deadman (comics)
205,Deadshot,Deadshot
206,Death,Death (DC Comics)
207,Deathstorm,
208,Deathstroke,Deathstroke
209,Decay,Decay (DC Comics)
210,Deep Blue,
211,DeSaad,DeSaad
212,Despero,Despero
213,Detective Chimp,Detective Chimp
214,Dex-Starr,
215,Ding Dong Daddy,Ding Dong Daddy
216,Doctor Alchemy,Doctor Alchemy
217,Doctor Cyber,Doctor Cyber
218,Doctor Destiny,Doctor Destiny
219,Doctor Fate,Doctor Fate
220,Doctor Light,Doctor Light (character)
221,Doctor Manhattan,Doctor Manhattan
222,Doctor Mid-Nite,Doctor Mid-Nite
223,Doctor Moon,
224,Doctor No-Face,
225,Doctor Occult,Doctor Occult
226,Doctor Poison,Doctor Poison
227,Doctor Polaris,Doctor Polaris
228,Doctor Psycho,Doctor Psycho
229,Doctor Sivana,Doctor Sivana
230,Doctor Trap,
231,Doctor Tyme,
232,Dodger,
233,Doll Man,Doll Man
234,Dollmaker,Dollmaker (comics)
235,Dominus,
236,Doomsday,Doomsday (DC Comics)
237,Dabney Donovan,
238,Draaga,
239,Dragon King,
240,Richard Dragon,Richard Dragon
241,Carl Draper,
242,Carla Draper,
243,Dreadnought,
244,Dream,Dream (character)
245,Dream Girl,Nura Nal
246,Duela Dent,Duela Dent
247,Cal Durham,
248,Eclipso,Eclipso
249,Morgan Edge,Morgan Edge
250,El Diablo,El Diablo (comics)
251,Elasti-Girl,Elasti-Girl
252,Elongated Man,Elongated Man
253,Emerald Empress,Emerald Empress
254,Emperor Blackgate,
255,Enchantress,Enchantress (DC Comics)
256,Eradicator,Eradicator (character)
257,Eraser,
258,Dr. Saul Erdel,
259,Etrigan the Demon,Etrigan the Demon
260,Sarah Essen,
261,Ron Evers,
262,False Face,
263,Faora,Faora
264,Fauna Faust,
265,Felix Faust,Felix Faust
266,Carl Ferris,
267,Ferro Lad,Ferro Lad
268,Fever,
269,Fiddler,Fiddler (comics)
270,Fire,Fire (comics)
271,Firebrand,Firebrand (DC Comics)
272,Firefly,Firefly (DC Comics)
273,Firehawk,
274,Firestorm,Firestorm (character)
275,Fisherman,
276,Flash,Flash (DC Comics character)
277,Flamebird,Flamebird
278,Flamingo,Flamingo (comics)
279,Arnold John Flass,
280,Anna Fortune,Anna Fortune
281,Flex Mentallo,Flex Mentallo
282,Floronic Man,Floronic Man
283,Major Force,Major Force
284,Mr. Freeze,Mr. Freeze
285,Forerunner,Forerunner (DC Comics)
286,Frankenstein,Frankenstein (DC Comics)
287,Fury,Fury (DC Comics)
288,G'nort,G'nort
289,Galactic Golem,
290,Gambler,Gambler (comics)
291,Ganthet,Ganthet
292,Allegra Garcia,
293,Esperanza Garcia,
294,Garguax,
295,Garn Daanuth,
296,Gearhead,Gearhead (DC Comics)
297,Gehenna,
298,General Immortus,General Immortus
299,General Zahl,General Zahl
300,Gentleman Ghost,Gentleman Ghost
301,Geo-Force,Geo-Force
302,Geomancer,
303,Ghost-Maker,
304,Giganta,Giganta
305,Gizmo,Gizmo (DC Comics)
306,Glorious Godfrey,Glorious Godfrey
307,Gnarrk,Gnarrk
308,Goldface,
309,Golden Eagle,
310,Golden Glider,Golden Glider
311,Gorilla Boss,
312,Gorilla Grodd,Gorilla Grodd
313,Gravedigger,
314,Green Arrow,Green Arrow
315,Green Lantern,Green Lantern
316,Grid,
317,Gridlock,
318,Guardian,Guardian (DC Comics)
319,Hackett,
320,Jack Haly,
321,Hank Hall,Hank Hall
322,Harlequin,Harlequin (character)
323,Harley Quinn,Harley Quinn
324,Harry Stein,Harry Stein (character)
325,Harvey Bullock,Harvey Bullock (character)
326,Hat,
327,Hauhet,
328,Hawk,Hawk and Dove
329,Hawkgirl,Hawkgirl
330,Hawkman,Hawkman
331,Hawkwoman,Hawkwoman
332,Head,
333,Headhunter,
334,Heat Wave,Heat Wave (comics)
335,Hector Hammond,Hector Hammond
336,Hellhound,
337,Hippolyta,Hippolyta (DC Comics)
338,Cecile Horton,
339,Hourman,Hourman
340,Human Cannonball,
341,Huntress,Huntress (comics)
342,Hush,Hush (character)
343,Hyathis,Hyathis
344,Hyena,
345,Ibis the Invincible,Ibis the Invincible
346,Ice,Ice (character)
347,Icemaiden,Icemaiden
348,Icicle,Icicle (comics)
349,Icon,Icon (character)
350,Immortal Man,Immortal Man
351,Impulse,Impulse (DC Comics)
352,Inspector Henderson,Inspector Henderson
353,Invisible Kid,Invisible Kid
354,Ion,Ion (DC Comics)
355,Iris West,Iris West
356,Isamot Kol,Isamot Kol
357,Ishmael,
358,Isis,Isis (DC Comics)
359,Isis (Selina Kyle's cat),
360,J.A.K.E. 1,G.I. Robot#J.A.K.E. 1
361,J.A.K.E. 2,G.I. Robot#J.A.K.E. 2
362,J'onn J'onzz,Martian Manhunter
363,Jack,Metal Men#Members
364,Jack of Clubs,Royal Flush Gang#First Gang: Clubs
365,Jack of Fire,The Pentacle#Membership
366,Jack O'Lantern,Jack O'Lantern (DC Comics)
367,Jack the Ripper,Jack the Ripper fiction#Comics
368,Jackal,Deathstroke#Origins
369,Jackhammer,Demolition Team#Members
370,Jaclyn,
371,Jade,Jade (DC Comics)
372,Jacob Ashe,Cinder and Ashe#Plot summary
373,Jakeem Thunder,Jakeem Thunder
374,Java,
375,Javelin,
376,Jefferson Jackson,
377,Jinny Hex,
378,Jinx,Jinx (DC Comics)
379,Johnny Thunder,Johnny Thunder
380,Joker,Joker (DC Comics)
381,John Henry,
382,M'yrnn J'onzz,
383,Rhea Jones,
384,Kalibak,
385,Adeline Kane,
386,Jacob Kane,
387,Karen Keeny,
388,Katana,Katana (DC Comics)
389,Kelex,Kelex
390,Kid Eternity,Kid Eternity
391,Kid Flash,Kid Flash
392,Kilg%re,
393,King Standish,King Standish
394,Killer Croc,Killer Croc
395,Killer Frost,Killer Frost
396,Killer Moth,Killer Moth
397,Thaddeus Killgrave,
398,King Cobra,
399,Kirigi,
400,Kobra,Kobra (DC Comics)
401,Kole,Kole
402,Komodo,
403,Jarvis Kord,
404,Kristen Kramer,
405,Kulak,
406,Kyodai Ken,
407,L-Ron,L-Ron
408,La Dama,
409,Lady Blackhawk,Lady Blackhawk
410,Lady Eve,
411,Lady Liberty,
412,Lady Quark,Lady Quark
413,Lady Shiva,Lady Shiva
414,Lady Styx,Lady Styx
415,Lady Vic,Lady Vic
416,Lagomorph,Inferior Five#Superior Five
417,Lagoon Boy,Lagoon Boy
418,Laham,
419,Laira,
420,Lan Dibbux,
421,Larry Lance,Larry Lance
422,Lois Lane,Lois Lane
423,Lucy Lane,Lucy Lane
424,Sam Lane,Sam Lane (comics)
425,Lana Lang,Lana Lang
426,Francine Langstrom,
427,Lara,Lara (character)
428,Larfleeze,Larfleeze
429,Bat Lash,Bat Lash
430,Lashina,Lashina
431,Lashorr,
432,Zoe Lawton,
433,Legion,Legion (DC Comics)
434,Lori Lemaris,Lori Lemaris
435,Liberty Belle,Liberty Belle (comics)
436,Lightning,Lightning (DC Comics)
437,Lilith Clay,Lilith Clay
438,Livewire,Livewire (DC Comics)
439,Lion-Mane,
440,Lobo,Lobo (DC Comics)
441,Gillian B. Loeb,Gillian B. Loeb
442,Steve Lombard,Steve Lombard
443,Looker,Looker (character)
444,Maxwell Lord,Maxwell Lord
445,Lucifer,Lucifer (DC Comics)
446,Lena Luthor,Lena Luthor
447,Lex Luthor,Lex Luthor
448,Lillian Luthor,
449,Lionel Luthor,Lionel Luthor
450,Lock-Up,
451,Lunkhead,
452,Anthony Lupus,
453,Lynx,Lynx (comics)
454,Josephine MacDonald,
455,Lorena Marquez,
456,Magpie,Magpie (character)
457,Mammoth,Mammoth (comics)
458,Bruno Mannheim,Bruno Mannheim
459,Moxie Mannheim,
460,March Harriet,
461,Matches Malone,
462,Menace,
463,Menagerie,
464,Mentalla,
465,Micron,
466,Midas,
467,Mime,
468,Minister Blizzard,Minister Blizzard
469,Molecule,
470,Mongal,
471,Mongul,Mongul
472,Alex Montez,Eclipso#Alex Montez
473,Juan Montez,
474,Maria Montez,
475,Sophie Moore,
476,Multiplex,
477,Mutant Leader,Mutants (DC Comics)
478,Dexter Myles,
479,Mysto,
480,Nabu,
481,Naiad,Naiad (character)
482,Natas,Natas (character)
483,Nebula Man,Nebula Man
484,Negative Man,Negative Man
485,Nekron,Nekron
486,Nemesis,Nemesis (DC Comics)
487,Nemesis Kid,Nemesis Kid
488,Neon the Unknown,Neon the Unknown
489,Nereus,
490,Neutron,Neutron (DC Comics)
491,New Wave,Masters of Disaster (comics)
492,Carter Nichols,Professor Carter Nichols
493,Nighthawk,Nighthawk (DC Comics)
494,Nightmaster,Nightmaster
495,Nightrider,Nightrider (DC Comics)
496,Nightrunner,Nightrunner (character)
497,Nightshade,Nightshade (DC Comics)
498,Nightslayer,Nightslayer
499,Nightwing,Nightwing
500,Nite Owl,Nite Owl
501,Nite-Wing,Nite-Wing
502,Nocturna,Nocturna (DC Comics)
503,Non,Non (comics)
504,Noose,Intergang
505,Northwind,Northwind (comics)
506,Nyxlygsptlnz,Ms. Gsptlsnz
507,Ogre,
508,Chief O'Hara,
509,Onyx,
510,Orca,Orca (DC Comics)
511,Otis,
512,Paintball,
513,Jarrett Parker,
514,Neptune Perkins,
515,Peek-a-Boo,
516,Phosphorus Rex,Phosphorus Rex
517,Prankster,Prankster (comics)
518,Preus,
519,Prestor Jon,Prestor Jon
520,Protector,Protector (DC Comics)
521,Psiphon,
522,Puppeteer,
523,Purgatory,
524,Puzzler,
525,Professor Pyg,Professor Pyg
526,Son of Pyg,
527,Quakemaster,Quakemaster
528,Moira Queen,
529,Robert Queen,
530,Qwsp,
531,Armando Ramon,
532,Dante Ramon,
533,Ravan,Ravan (comics)
534,Raven,Raven (DC Comics)
535,Red Arrow,Roy Harper (character)|Emiko Queen
536,Red Star,Red Star (comics)
537,Red Tool,
538,Red Tornado,Red Tornado|Red Tornado (identity)
539,Reign,
540,Alberto Reyes,
541,Bianca Reyes,
542,Robin,Robin (DC Comics)
543,Robot Renegades,
544,Rock,
545,Rose Psychic,
546,Cullen Row,
547,Harper Row,Harper Row
548,Sand Demon,
549,Sardath,Sardath
550,Mia Saunders,
551,Scorcher,
552,Scream Queen,
553,Shango,
554,Shark,
555,Shat-Ru,
556,Shiv,
557,Silver Ghost,
558,Sidd,
559,Sin,Sin (DC Comics)
560,Garrison Slate,
561,Slobo,Li'l Lobo
562,Felicity Smoak,Felicity Smoak
563,Safiyah Sohail,
564,Johnny Sorrow,Johnny Sorrow
565,Speed Demon,Jimmy Olsen
566,Horten Spence,
567,Spin,
568,Stalnoivolk,
569,Starling,
570,Cornelius Stirk,Cornelius Stirk
571,Stitch,
572,Clarissa Stein,
573,Elinore Stone,
574,Silas Stone,Silas Stone
575,Super-Hip,Super-Hip
576,Super-Turtle,Super-Turtle
577,Superboy,Superboy
578,Supergirl,Supergirl
579,Superman,Superman
580,Superman robots,Superman robots
581,Supernova,Supernova (DC Comics)
582,Superwoman,Superwoman
583,Syl,
584,Syonide,
585,Tally Man,Tally Man
586,TNT,TNT (character)
587,Mister Toad,
588,Tokamak,
589,Joey Toledo,
590,Trajectory,
591,Tremor,
592,Tsunami,
593,Turtle,Turtle (comics)
594,Typhoon,
595,Ubu,League of Assassins#Members
596,Ultimon,Big Science Action#Ultimon
597,Ultra Boy,Ultra Boy
598,Ultra the Multi-Alien,Ultra the Multi-Alien
599,Ultraa,Ultraa
600,Ultra-Humanite,Ultra-Humanite
601,Ultra-Man,Ultra-Man
602,Ultraman,Ultraman (DC Comics)
603,Umbaluru,Umbaluru
604,Umbrax,
605,Uncle Marvel,Uncle Marvel
606,Uncle Sam,Uncle Sam (comics)
607,Undertow,
608,Unity Kinkaid,Characters of The Sandman#Unity Kinkaid
609,Universo,Universo
610,Unknown Soldier,Unknown Soldier (DC Comics)
611,Uranium,
612,Usil,Axis Amerika#Members
613,V,V (character)
614,V'lana,
615,Warlock's Daughter,Warlock's Daughter
616,Warlord,Warlord (DC Comics)
617,Warhawk,
618,Warp,Warp (comics)
619,Waverider,Waverider (character)
620,Van Wayne,
621,Weapons Master,Weapons Master
622,Weasel,
623,Weather Witch,
624,Weather Wizard,Weather Wizard
625,Web,Web (character)
626,Weeper,Weeper (DC Comics)
627,Weird,Weird (comics)
628,Paul Westfield,Paul Westfield
629,Whip,Whip (comics)
630,White Canary,
631,White Dragon,
632,White Rabbit,
633,White Witch,White Witch (comics)
634,Perry White,Perry White
635,Wild Dog,Wild Dog (comics)
636,Wildebeest,Wildebeest (comics)
637,Wildfire,Wildfire (comics)
638,Wildstar,Wildstar (DC Comics)
639,Rose Wilson,Rose Wilson
640,Windfall,
641,Woozy Winks,Woozy Winks
642,Wintergreen,Wintergreen (comics)
643,Wink,
644,Wizard,Wizard (DC Comics)
645,Wolf Spider,
646,Wonder Boy,Wonder Boy (character)
647,Wonder Girl,Wonder Girl (Cassie Sandsmark)
648,Wonder Twins,Wonder Twins
649,Wonder Woman,Wonder Woman
650,Wotan,Wotan (comics)
651,Wrath,Wrath (comics)
652,Yankee Doodle Dandy,
653,Yellow Lantern,Hal Jordan#Other versions
654,Yellow Peri,Yellow Peri
655,Yellowjacket,Yellowjacket (Charlton Comics)
656,Yo-Yo,
657,Young Frankenstein,
658,Yuda,
659,Zale,
660,Zaneth,
661,Zara,Zara (character)
662,Zatanna,Zatanna
663,Zatara,Zatara
664,Zachary Zatara,Zachary Zatara
665,Zauriel,Zauriel
666,Zebra-Man,Zebra-Man
667,Zeiss,
668,Zeus,Zeus (DC Comics)
669,Zodiac Master,
670,Ashley Zolomon,
671,Zookeeper,Zookeeper (comics)
672,Zor-El,Zor-El
673,Tony Zucco,Tony Zucco
674,Zuggernaut,
675,Zyklon,
676,Val Colby,Lex Luthor#Relationships and family
677,Valda,Valda the Iron Maiden
678,"Vale, Emmet",Metallo#Jor-El's Robot
679,"Vale, Jimmie",Batman and Robin (serial)#Cast
680,Val-El,Jor-El#His accomplishments
681,Valentina Armorr,Karate Kid (comics)#Fictional character biography
682,Valentina Vostok,Valentina Vostok
683,"Valestra, Salvatore",Batman: Mask of the Phantasm#Plot
684,Validus,Validus
685,Vampirus,Super Friends#Other DC Comics villains
686,Vandal,Omega Men#Later members
687,Vandal Savage,Vandal Savage
688,"Vane, Commissioner",Gotham City Police Department#Commissioners
689,Van-El,For the Man Who Has Everything#Plot
690,Vanessa Van Helsing,Night Force#Characters
691,Vanguard,Shining Knight#Ystina
692,"Van'n Intraktus, Magaan",Green Lantern Corps#First attempt of rebuilding the Green Lantern Corps
693,"Vanzetti, Jocko-Boy",Tony Zucco#Other versions
694,Vapor,The Conglomerate (comics)#Fictional background
695,Vara,Superman & Batman: Generations#Generations 3
696,Vartox,Vartox
697,Vath Sarn,Vath Sarn
698,Vectron,Elseworld's Finest: Supergirl & Batgirl#Secondary characters and cameos
699,"Vega, Colonel","Batman: Knightfall#""Troika"""
700,Veilmist,Khund#Khundian Legionnaires
701,Velvet Tiger,Wild Dog (comics)#Fictional character biography
702,Venelia,Themyscira (DC Comics)#Notable Amazons
703,Venev,Bloodlines (comics)#Publication history
704,Ventriloquist,Ventriloquist (comics)
705,Venus Sivana,Doctor Sivana#Later appearances
706,Veridium,Veridium
707,Veronica Cale,Veronica Cale
708,Vestion,Vartox#Post Crisis
709,Vibe,Vibe (comics)
710,Vice Admiral Fangschleister,Batman (1966 film)#Cast
711,Vicki Grant,Dial H for Hero#1980s series
712,Vicki Vale,Vicki Vale
713,Vigilante,Vigilante (comics)
714,Viking,Maximums#Team members
715,Viking Prince,Viking Prince
716,Vikram,The Losers (2010 film)
717,Vilmos Egan,Kasnia#Batman Beyond
718,"Vimana, Lorna",Xenobrood#Fictional history
719,Vince Everett,Flash in other media#The Flash (1990–1991)
720,Vincent Del Arrazzio,Gotham City Police Department#Current roster
721,Vincent Velcoro (Velcro),Creature Commandos#Membership
722,Vincent Yatz,Creeper (comics)#Fictional character biography
723,"Vincent, Harry",The Shadow#Supporting characters
724,Viperie,Viperie (Action Comics 338)
725,Virago,Onomatopoeia (comics)#Publication history
726,Virman Vundabar,Virman Vundabar
727,Virtuoso,Virtuoso (comics)
728,Vixen,Vixen (comics)
729,Vizacacha,Vizacacha
730,Voice-Over,Hero Hotline#Day shift
731,Volcana,Volcana
732,"Volt, Lord",Lady Quark#Crisis
733,Volthoom,Volthoom
734,Von Bach,Von Bach#Rogue metahumans
735,"von Gunther, Paula, Baroness",Baroness Paula von Gunther
736,Vond-Ah,Superman (1978 film)#Cast
737,Voodoo,Voodoo (Wildstorm)
738,Vortex,Doom Patrol#John Byrne's Doom Patrol (volume 4)
739,Vox Populi,The Monarchy (comics)#Members
740,"Vreeland, Bunny",Batman Beyond#Story
741,"Vroom, Hans",Hans Vroom (Action Comics 93)
742,"Vul, Tri","Tri Vul (The Brave and the Bold, Vol. 1, 155)"
743,"Vulko, Nuidis",Nuidis Vulko
744,Vulture,Terrible Trio
745,X' Hal,X' Hal
746,X-2-Y,X-2-Y (Action Comics 344)
747,X-5 Super Agent,X-5 Super Agent (Quality Comics)
748,X,X of the Underground
749,Xanna,Empire (comics)#Characters
750,Xanthi,Sparta of Synriannaq#Character history
751,Xardo,Xardo (Action Comics 325)
752,Xasnu,Xasnu (Action Comics 278)
753,X-Bomb Betty,X-Bomb Betty
754,Xenofobe,Xenofobe
755,Xeo,Xeo
756,Xera,Xera (comics)
757,Xero,Xero (comics)
758,Xiang-Fa,"Xiang-Fa (Green Lantern, Vol. 3, 19)"
759,Xiuhtecutli,Cadre (comics)#Cadre of the Immortal
760,Xolotl,Hell (DC Comics)#Fiends
761,Xombi,Xombi
762,Xov,Xov (Action Comics 242)
763,XS,XS (comics)
764,2-D Man,
765,3G4,
766,4-D,International Ultramarine Corps#Founding membership
767,500Z-Q,Hero Hotline#Support crew
768,666,
769,#711,711 (Quality Comics)
770,8-Ball,
